Social,Social,Social,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Wasted,Wasted,Relax,Relax,Relax,Relax,Social,Social,Relax,Relax,Social,Social,Romance,,
Romance,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Exercise,Productive,Romance,Romance,Romance,Relax,Relax,Relax,Exercise,Exercise,Productive,Relax,Relax,Social,Social,Social,Social,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Exercise,Exercise,Productive,Relax,Productive,Productive,Productive,Relax,Exercise,Exercise,Relax,Relax,Social,Social,Social,Social,Social,,
Relax,Relax,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Productive,EXERCISE,Social,Productive,Productive,Productive,EXERCISE,EXERCISE,Social,Social,Relax,Social,Social,Romance,Romance,,
Romance,Romance,WASTED,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,WASTED,WASTED,WASTED,EXERCISE,EXERCISE,Relax,Relax,Productive,Productive,Social,Relax,Relax,Social,Social,,
Relax,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,exercise,wasted,Social,Relax,Sleep,Sleep,Productive,Productive,Relax,Productive,Social,Social,Social,Social,Social,Social,,
Relax,Relax,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,exercise,exercise,Relax,Sleep,Sleep,Sleep,Relax,Productive,Productive,Social,Social,Social,Social,Social,Social,Social,,
Social,Social,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,Relax,Productive,Productive,Productive,Social,Relax,Relax,Social,Social,Relax,,
Relax,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,exercise,exercise,Social,Productive,Productive,Social,Social,Productive,Productive,EXERCISE,Social,Social,Relax,Social,Social,Relax,Sleep,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,exercise,EXERCISE,Social,Relax,Sleep,Relax,Development,Productive,EXERCISE,EXERCISE,Relax,Relax,Social,Productive,Productive,Productive,Relax,,
Relax,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,exercise,Productive,Social,Productive,Sleep,Sleep,Development,Development,Development,Productive,Development,Development,Relax,Relax,Relax,Relax,Sleep,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,EXERCISE,EXERCISE,Social,Productive,Productive,Productive,Productive,Productive,exercise,EXERCISE,Social,Productive,FAMILY,Productive,Productive,Social,Relax,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,EXERCISE,Social,Productive,Productive,Work / Class,EXERCISE,Relax,Social,Social,Social,Social,Productive,Productive,Productive,Productive,Productive,,
Relax,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,EXERCISE,EXERCISE,Relax,Productive,Productive,Productive,Productive,Relax,Productive,Productive,Productive,Productive,Work / Class,Relax,Social,Social,,
Social,Social,Social,Relax,Sleep,Relax,Relax,Sleep,Sleep,Sleep,Sleep,Social,WASTED,WASTED,Relax,Sleep,Relax,Productive,Productive,Productive,Productive,Productive,Relax,Sleep,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,Relax,Productive,Productive,Productive,Productive,Productive,Productive,Productive,Productive,Productive,Productive,Productive,Productive,Productive,Relax,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,Productive,Productive,Productive,Productive,Productive,Productive,Productive,Productive,Relax,Relax,Social,Relax,Relax,Relax,Relax,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,EXERCISE,EXERCISE,Social,Productive,Productive,Productive,Work / Class,Work / Class,Work / Class,Relax,Relax,Relax,Relax,Relax,Relax,Relax,Social,,
Relax,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,Development,Development,Relax,Social,Productive,EXERCISE,EXERCISE,Development,Development,Relax,Social,Social,Social,Social,Social,,
Relax,Relax,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,Productive,Productive,Sleep,Relax,EXERCISE,EXERCISE,Social,Relax,Social,Social,Productive,Relax,Sleep,Sleep,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,EXERCISE,EXERCISE,Relax,Relax,Relax,Productive,Productive,Productive,Sleep,Relax,Relax,Development,Development,Relax,Relax,Social,Social,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,Productive,Productive,Work / Class,Work / Class,Work / Class,Relax,Relax,Social,Productive,Productive,Productive,Productive,Sleep,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,Productive,Work / Class,Work / Class,Work / Class,Productive,Productive,Productive,EXERCISE,EXERCISE,Development,Development,Productive,Productive,Social,Social,Social,,
Social,Romance,Romance,Romance,Sleep,Sleep,Sleep,Sleep,Relax,Social,Productive,Productive,Social,EXERCISE,Productive,EXERCISE,Productive,Productive,Productive,Productive,Productive,Relax,Sleep,Sleep,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,Productive,Productive,Productive,Productive,Productive,Work / Class,Work / Class,Work / Class,Relax,EXERCISE,Social,FAMILY,Social,Social,Social,Romance,,
Romance,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Romance,Social,Social,Relax,Sleep,Sleep,exercise,exercise,exercise,Relax,Relax,Relax,Relax,Relax,Relax,Social,Romance,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,EXERCISE,EXERCISE,Social,Sleep,Relax,Relax,Social,Productive,EXERCISE,EXERCISE,Relax,Relax,Relax,Relax,Relax,Romance,Romance,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,EXERCISE,EXERCISE,Social,Relax,Sleep,Sleep,Sleep,Social,Social,Social,Relax,Relax,Relax,Relax,Relax,Sleep,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,Sleep,Sleep,Social,Relax,Relax,Relax,Relax,Relax,Relax,Relax,Social,Relax,Relax,Relax,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,Relax,Development,Development,Relax,Development,Development,Development,Development,Development,Social,Social,Social,Relax,Romance,Romance,,
Romance,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,Relax,Productive,Social,Social,Relax,Relax,Social,Social,Social,Social,Social,Relax,family,FAMILY,Sleep,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,EXERCISE,Social,Social,Relax,Social,Social,Relax,FAMILY,Social,Social,Social,FAMILY,FAMILY,FAMILY,FAMILY,Relax,Sleep,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,exercise,exercise,Social,Social,Social,Social,Social,Sleep,Sleep,Relax,FAMILY,FAMILY,Relax,Relax,Social,Social,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,exercise,exercise,Relax,Relax,Social,Work / Class,Relax,EXERCISE,EXERCISE,Relax,Relax,Social,Relax,Relax,Relax,Relax,Sleep,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,Productive,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,EXERCISE,Relax,Relax,Social,Social,Romance,,
Romance,Romance,Relax,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,Sleep,Productive,Social,Social,Social,Social,Social,Productive,Relax,Social,Social,Social,Romance,,
Romance,Relax,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,Work / Class,Work / Class,Work / Class,Relax,Relax,Work / Class,Work / Class,Productive,Relax,Productive,,Social,Social,Relax,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,exercise,exercise,Social,Productive,Work / Class,Work / Class,Relax,Productive,Work / Class,EXERCISE,EXERCISE,Relax,Productive,Productive,Social,Social,Relax,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Productive,Productive,Productive,Work / Class,Work / Class,Productive,Productive,Work / Class,Work / Class,EXERCISE,Productive,Work / Class,Work / Class,Productive,Productive,Sleep,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,Productive,Productive,Work / Class,Work / Class,Work / Class,Productive,Productive,Productive,EXERCISE,EXERCISE,Social,Social,Productive,Productive,Relax,Sleep,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,EXERCISE,EXERCISE,Social,Productive,Work / Class,WASTED,WASTED,Productive,Productive,EXERCISE,EXERCISE,Social,Productive,Social,Relax,Relax,Social,Social,,
Relax,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,EXERCISE,EXERCISE,Social,Relax,Relax,Sleep,Sleep,Relax,Relax,Relax,Productive,Productive,Social,WASTED,Relax,Productive,,
Productive,Relax,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,WASTED,Sleep,Sleep,Relax,WASTED,Sleep,Sleep,Sleep,WASTED,Sleep,Relax,WASTED,,
Sleep,Sleep,Sleep,Sleep,WASTED,Sleep,Sleep,Sleep,Sleep,Productive,Productive,Productive,Work / Class,Work / Class,Work / Class,Work / Class,Productive,Productive,Productive,Productive,Productive,Relax,Relax,Relax,,
Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Sleep,Relax,Productive,Productive,Work / Class,Productive,Productive,Productive,Work / Class,Productive,Social,Social,Relax,Productive,Relax,Social,Relax,,
